Gene	Chrom	Start	End	Strand	Introns	Expression	Functional	NotFunctional	Functional_Transcripts	NotFunctional_Transcripts	Shannon	Evenness	Hill_q0	Hill_q1	Hill_q2	Num_Isoforms	MatingTypeRegion
6077	scaffold_3	1438350	1439870	-	0	90	90	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.3_#_145_#_4272126:1	scaffold_3	1442118	1442944	-	0	991	991	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6079	scaffold_3	1462878	1463915	-	0	6036	6036	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6080	scaffold_3	1468866	1472120	-	1	563	563	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_30876	scaffold_3	1477956	1480544	-	1	20	20	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6082	scaffold_3	1484610	1485390	-	0	60	60	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_30890	scaffold_3	1490916	1493380	-	0	136	136	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_3_t20217	scaffold_3	1513229	1516938	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6085	scaffold_3	1521622	1522593	-	0	848	848	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6086	scaffold_3	1525545	1526781	-	1	20	20	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_3_t20228	scaffold_3	1541988	1544112	-	1	283	283	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6088	scaffold_3	1547299	1550425	-	2	62	20	42	1	2	0.9340	0.8502	3	2.5447	2.2963	3	0
estExt_Genewise1Plus.C_3_t40001	scaffold_3	1550553	1554211	-	1	168	12	156	1	1	0.2573	0.3712	2	1.2935	1.1529	2	0
fgenesh2_kg.3_#_156_#_4269359:3	scaffold_3	1555724	1556805	-	0	236	236	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_30914	scaffold_3	1556895	1559568	-	4	55	55	0	2	0	0.5860	0.8454	2	1.7967	1.6575	2	0
6092	scaffold_3	1572318	1573819	-	0	400	400	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6093	scaffold_3	1573955	1576236	-	2	170	170	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6094	scaffold_3	1577376	1578668	-	1	74	74	0	2	0	0.5389	0.7775	2	1.7142	1.5478	2	0
6095	scaffold_3	1580432	1581681	-	0	40	40	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_3_t40031	scaffold_3	1581844	1584785	-	3	203	203	0	2	0	0.1332	0.1922	2	1.1425	1.0609	2	0
MicpuC2.estExt_Genewise1Plus.C_30940	scaffold_3	1593188	1594345	-	2	10122	10122	0	2	0	0.0704	0.1016	2	1.0729	1.0268	2	0
MicpuC2.EuGene.0000030833	scaffold_3	1598550	1599571	-	0	36	36	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_30487	scaffold_3	1600888	1602241	-	2	34	31	3	1	1	0.2984	0.4306	2	1.3477	1.1918	2	0
MicpuC2.est_orfs.3_1598_4270883:1	scaffold_3	1602330	1604958	-	2	30	10	20	1	1	0.6365	0.9183	2	1.8899	1.8000	2	0
6101	scaffold_3	1607684	1608599	-	1	1510	1423	87	2	1	0.3434	0.3126	3	1.4098	1.1881	3	0
MicpuC2.EuGene.0000030843	scaffold_3	1611496	1612352	-	0	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.3_#_166_#_4275591:1	scaffold_3	1616359	1618429	-	0	528	528	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6104	scaffold_3	1623228	1624166	-	0	45	45	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6105	scaffold_3	1626134	1627208	-	1	69	69	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6106	scaffold_3	1627283	1628795	-	2	71	67	4	1	1	0.2168	0.3127	2	1.2421	1.1190	2	0
estExt_Genewise1Plus.C_3_t40084	scaffold_3	1641308	1643732	-	2	39	10	29	1	2	1.0736	0.9772	3	2.9258	2.8537	3	0
6108	scaffold_3	1647932	1649240	-	0	48	48	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6109	scaffold_3	1656840	1657476	-	0	73	73	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000030871	scaffold_3	1659487	1661014	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6111	scaffold_3	1663808	1664932	-	1	44	0	44	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6112	scaffold_3	1666089	1668313	-	0	493	493	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6113	scaffold_3	1668443	1669670	-	1	180	168	12	2	1	0.3285	0.2990	3	1.3889	1.1834	3	0
6114	scaffold_3	1680426	1680988	-	0	138	138	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_31010	scaffold_3	1696458	1697274	-	0	126	126	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6116	scaffold_3	1706739	1708125	-	1	1195	1195	0	2	0	0.1264	0.1823	2	1.1347	1.0568	2	0
estExt_Genemark1.C_3_t20311	scaffold_3	1709587	1710821	-	0	72	72	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6118	scaffold_3	1712352	1714529	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6119	scaffold_3	1719001	1719817	-	0	749	0	749	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6120	scaffold_3	1719915	1721094	-	0	4	4	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6121	scaffold_3	1724336	1724775	-	1	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6122	scaffold_3	1727995	1730307	-	2	47	47	0	2	0	0.5176	0.7467	2	1.6780	1.5037	2	0
estExt_Genewise1.C_3_t40204	scaffold_3	1734585	1735950	-	1	344	344	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6124	scaffold_3	1738545	1740713	-	0	25	25	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6125	scaffold_3	1742597	1743775	-	1	9	0	9	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6126	scaffold_3	1756837	1760108	-	3	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6127	scaffold_3	1760180	1762870	-	2	17	13	4	1	1	0.5456	0.7871	2	1.7256	1.5622	2	0
6128	scaffold_3	1762954	1765109	-	3	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6129	scaffold_3	1778616	1780338	-	3	62	59	3	2	1	0.3850	0.3505	3	1.4696	1.2188	3	0
6130	scaffold_3	1782605	1783621	-	0	119	119	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6131	scaffold_3	1785479	1785909	-	0	74	74	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6132	scaffold_3	1788234	1789731	-	0	65	65	0	2	0	0.5747	0.8291	2	1.7765	1.6294	2	0
6133	scaffold_3	1793249	1794145	-	0	336	336	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6134	scaffold_3	1795129	1796185	-	0	475	475	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6135	scaffold_3	1796299	1799017	-	1	106	43	63	1	1	0.6752	0.9742	2	1.9645	1.9312	2	0
6136	scaffold_3	1823154	1823831	-	1	481	0	481	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6137	scaffold_3	1825112	1828742	-	3	35	35	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_30175	scaffold_3	1829800	1832645	-	3	23	9	14	2	2	1.2347	0.8906	4	3.4372	3.0229	4	0
6139	scaffold_3	1840507	1841109	-	0	338	338	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6140	scaffold_3	1853398	1854940	-	1	123	123	0	2	0	0.2406	0.3471	2	1.2720	1.1385	2	0
6141	scaffold_3	1858698	1859508	-	0	132	132	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6142	scaffold_3	1862765	1864880	-	1	1229	1229	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000030989	scaffold_3	1874087	1875650	-	0	43	20	23	1	1	0.6907	0.9965	2	1.9951	1.9903	2	0
MicpuC2.estExt_Genewise1.C_31112	scaffold_3	1885176	1888046	-	2	72	21	51	3	2	1.3620	0.8463	5	3.9042	3.4240	5	0
6145	scaffold_3	1892519	1894333	-	2	292	292	0	2	0	0.1492	0.2153	2	1.1609	1.0708	2	0
6146	scaffold_3	1903132	1904581	-	2	111	111	0	3	0	0.7521	0.6846	3	2.1214	1.7818	3	0
6147	scaffold_3	1909995	1911217	-	1	11	11	0	2	0	0.6555	0.9457	2	1.9261	1.8615	2	0
6148	scaffold_3	1916381	1918100	-	2	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh3_kg.3_#_84_#_isotig00957	scaffold_3	1920756	1921548	-	0	6	6	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000031013	scaffold_3	1924077	1925526	-	1	66	66	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6151	scaffold_3	1926770	1928034	-	0	30	30	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6152	scaffold_3	1930531	1932582	-	2	88	88	0	3	0	0.4909	0.4469	3	1.6338	1.3238	3	0
6153	scaffold_3	1937473	1938129	-	0	510	510	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6154	scaffold_3	1941579	1942321	-	0	92	92	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000031026	scaffold_3	1943874	1946460	-	0	387	219	168	2	1	0.8574	0.7804	3	2.3570	2.1952	3	0
6156	scaffold_4	12033	12680	-	0	73	73	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6157	scaffold_4	17424	18595	-	0	75	75	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_40031	scaffold_4	23461	26258	-	3	27	9	18	1	1	0.6365	0.9183	2	1.8899	1.8000	2	0
6159	scaffold_4	28537	28792	-	0	23	0	23	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6160	scaffold_4	37390	38015	-	0	142	142	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40016	scaffold_4	44092	45609	-	1	20	12	8	2	1	1.0549	0.9602	3	2.8717	2.7778	3	0
estExt_fgenesh2_kg.C_40007	scaffold_4	51391	53579	-	0	91	36	55	1	1	0.6712	0.9683	2	1.9566	1.9165	2	0
MicpuC2.EuGene.0000040027	scaffold_4	54880	56925	-	1	136	136	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6164	scaffold_4	57006	59891	-	2	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6165	scaffold_4	65476	69060	-	2	29	9	20	1	2	1.0940	0.9958	3	2.9861	2.9717	3	0
estExt_Genemark1.C_4_t10036	scaffold_4	71026	73276	-	2	767	721	46	1	1	0.2269	0.3273	2	1.2547	1.1271	2	0
fgenesh2_kg.4_#_10_#_4275955:1	scaffold_4	77901	78525	-	0	134	0	134	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
6168	scaffold_4	79617	80434	-	0	117	117	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EFO_EuGene.0000040043	scaffold_4	82585	83811	-	2	1890	1890	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.4_#_11_#_4275648:1	scaffold_4	86238	87630	-	1	62	62	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_40022	scaffold_4	91543	94355	-	0	94	94	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6172	scaffold_4	95659	96907	-	0	99	34	65	2	1	0.8033	0.7312	3	2.2330	1.9427	3	0
6173	scaffold_4	107502	110757	-	3	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6174	scaffold_4	116116	117107	-	1	380	380	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6175	scaffold_4	121799	124916	-	0	101	101	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040071	scaffold_4	134604	136800	-	3	20	8	12	1	1	0.6730	0.9710	2	1.9601	1.9231	2	0
6177	scaffold_4	138107	139118	-	0	34	34	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_4_t10070	scaffold_4	139160	140559	-	0	49	49	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6179	scaffold_4	151279	152833	-	1	46	46	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6180	scaffold_4	156214	157899	-	2	496	496	0	4	0	0.4295	0.3098	4	1.5365	1.2309	4	0
6181	scaffold_4	212177	213198	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6182	scaffold_4	221951	223483	-	2	133	133	0	2	0	0.1602	0.2311	2	1.1738	1.0780	2	0
6183	scaffold_4	223606	224467	-	1	383	383	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6184	scaffold_4	224555	225133	-	0	67	67	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6185	scaffold_4	237645	239937	-	2	27	13	14	2	1	1.0133	0.9223	3	2.7546	2.5579	3	0
6186	scaffold_4	240062	241302	-	1	33	33	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1.C_4_t10193	scaffold_4	244933	245965	-	0	84	84	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_40131	scaffold_4	247827	249818	-	2	1442	1442	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_40143	scaffold_4	255182	256129	-	0	251	251	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6190	scaffold_4	257698	259288	-	0	113	113	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6191	scaffold_4	275537	276849	-	1	5	5	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_40025	scaffold_4	280261	281640	-	3	121	116	5	1	1	0.1721	0.2483	2	1.1878	1.0860	2	0
6193	scaffold_4	290368	291620	-	0	209	209	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40093	scaffold_4	294138	297099	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6195	scaffold_4	297459	298982	-	3	756	726	30	1	1	0.1669	0.2408	2	1.1817	1.0825	2	0
6196	scaffold_4	303220	303881	-	0	336	336	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_4_t10246	scaffold_4	310279	311748	-	0	140	140	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6198	scaffold_4	316945	317904	-	0	176	176	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pm.C_40074	scaffold_4	320580	324263	-	3	58	3	55	1	4	1.3894	0.8633	5	4.0123	3.5485	5	0
6200	scaffold_4	326345	327502	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040174	scaffold_4	343161	345265	-	1	102	31	71	3	3	1.6705	0.9323	6	5.3147	4.8891	6	0
6202	scaffold_4	354816	356637	-	0	122	122	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_40192	scaffold_4	361986	363126	-	1	70	70	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6204	scaffold_4	364566	367353	-	2	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_4_t10288	scaffold_4	368236	369473	-	0	84	84	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6206	scaffold_4	378001	379689	-	1	58	58	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6207	scaffold_4	381140	383508	-	1	273	273	0	2	0	0.5446	0.7857	2	1.7239	1.5599	2	0
6208	scaffold_4	388114	388995	-	0	278	278	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6209	scaffold_4	392972	394404	-	1	199	199	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6210	scaffold_4	395403	395995	-	0	34	34	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.4_#_37_#_4278641:1	scaffold_4	401961	403062	-	0	60	60	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6212	scaffold_4	412838	413184	-	0	279	0	279	0	1	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040228	scaffold_4	437283	438200	-	1	35	35	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040230	scaffold_4	439528	440761	-	2	153	153	0	2	0	0.3878	0.5594	2	1.4737	1.2941	2	0
6215	scaffold_4	443384	447252	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6216	scaffold_4	458008	458888	-	0	147	147	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6217	scaffold_4	467120	468289	-	0	97	97	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6218	scaffold_4	471605	472671	-	0	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6219	scaffold_4	474948	476752	-	0	142	142	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6220	scaffold_4	476892	478648	-	0	53	53	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6221	scaffold_4	491424	492681	-	0	147	147	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6222	scaffold_4	492830	493812	-	0	45	45	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6223	scaffold_4	498048	498647	-	0	32	32	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6224	scaffold_4	501180	502080	-	1	170	162	8	1	1	0.1898	0.2738	2	1.2090	1.0985	2	0
estExt_fgenesh1_pg.C_40096	scaffold_4	503442	506670	-	0	51	51	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6226	scaffold_4	512907	514063	-	0	165	165	0	2	0	0.4741	0.6840	2	1.6066	1.4235	2	0
MicpuC2.estExt_fgenesh1_kg.C_40009	scaffold_4	543913	544679	-	0	214	214	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6228	scaffold_4	545293	546842	-	0	326	326	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6229	scaffold_4	548741	549738	-	0	68	68	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40157	scaffold_4	549851	552034	-	0	249	42	207	2	2	1.1273	0.8132	4	3.0872	2.7195	4	0
6231	scaffold_4	556498	557467	-	0	741	741	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6232	scaffold_4	568110	569493	-	0	1865	1865	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_40108	scaffold_4	570358	572221	-	0	157	157	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_40312	scaffold_4	574573	576968	-	5	41	38	3	2	1	0.5177	0.4713	3	1.6782	1.3524	3	0
estExt_fgenesh2_kg.C_40053	scaffold_4	578511	579193	-	1	2129	131	1998	1	2	0.7829	0.7127	3	2.1879	1.8744	3	0
estExt_fgenesh1_pg.C_40114	scaffold_4	587270	588046	-	1	76	76	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6237	scaffold_4	589796	590829	-	0	1490	1490	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6238	scaffold_4	596440	597344	-	0	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_40057	scaffold_4	619029	621007	-	1	15562	15562	0	2	0	0.0715	0.1032	2	1.0741	1.0274	2	0
6240	scaffold_4	625757	627450	-	0	63	63	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6241	scaffold_4	628682	629444	-	0	57	57	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.4_#_60_#_4273389:2	scaffold_4	646785	648370	-	1	3983	3983	0	2	0	0.1013	0.1461	2	1.1066	1.0425	2	0
estExt_fgenesh2_kg.C_40062	scaffold_4	650129	652609	-	0	1174	871	303	1	1	0.5711	0.8239	2	1.7701	1.6206	2	0
estExt_Genemark1.C_4_t10272	scaffold_4	652705	653824	-	0	162	162	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40186	scaffold_4	657469	658642	-	0	289	289	0	2	0	0.6894	0.9946	2	1.9925	1.9851	2	0
MicpuC2.est_orfs.4_6271_4273280:2	scaffold_4	659631	660990	-	0	68	68	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040323	scaffold_4	666466	668257	-	1	143	143	0	2	0	0.6752	0.9741	2	1.9645	1.9312	2	0
MicpuC2.estExt_Genewise1Plus.C_40364	scaffold_4	669681	672739	-	0	53	16	37	1	1	0.6125	0.8836	2	1.8450	1.7286	2	0
MicpuC2.estExt_fgenesh1_pm.C_40037	scaffold_4	681568	683586	-	0	36	36	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_4_t20082	scaffold_4	697432	698661	-	0	70	70	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6252	scaffold_4	704433	705580	-	0	110	110	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_4_t20093	scaffold_4	705586	707571	-	1	56	56	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6254	scaffold_4	708193	709724	-	0	243	243	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040347	scaffold_4	713862	716039	-	2	235	235	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genewise1Plus.C_4_t20108	scaffold_4	721744	725222	-	1	11	11	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6257	scaffold_4	732142	733655	-	1	22	22	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6258	scaffold_4	744370	746349	-	0	91	91	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6259	scaffold_4	746476	749515	-	3	16866	16866	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.4_#_72_#_4270183:1	scaffold_4	761236	762256	-	0	622	622	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6261	scaffold_4	766588	767423	-	2	74	74	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6262	scaffold_4	770484	771441	-	0	375	375	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.4_6321_4274036:1	scaffold_4	773295	774668	-	1	791	791	0	2	0	0.1694	0.2444	2	1.1846	1.0842	2	0
6264	scaffold_4	776094	777099	-	0	94	94	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6265	scaffold_4	790678	791487	-	0	133	133	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.est_orfs.4_6333_4271126:1	scaffold_4	796338	799285	-	2	8	8	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1Plus.C_40436	scaffold_4	799418	801610	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6268	scaffold_4	810187	812103	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6269	scaffold_4	812645	814165	-	0	12	12	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.EuGene.0000040407	scaffold_4	819642	824453	-	2	7	7	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6271	scaffold_4	840178	841178	-	0	198	198	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6272	scaffold_4	841831	844392	-	1	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh1_kg.4_#_80_#_57293	scaffold_4	846684	848764	-	1	3	3	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_4_t10380	scaffold_4	854448	856410	-	0	128	128	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6275	scaffold_4	864150	865462	-	0	35	35	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_4_t10391	scaffold_4	872112	874041	-	0	13	13	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6277	scaffold_4	878604	879851	-	0	81	81	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
fgenesh2_kg.4_#_83_#_4272343:1	scaffold_4	880859	881682	-	0	278	278	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh1_pg.C_40171	scaffold_4	885628	886714	-	2	3057	57	3000	1	1	0.0927	0.1338	2	1.0972	1.0380	2	0
6280	scaffold_4	888296	889144	-	1	9	9	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_fgenesh2_kg.C_40085	scaffold_4	892888	893941	-	0	52	52	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6282	scaffold_4	897491	898494	-	0	43	43	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40263	scaffold_4	898500	899894	-	0	123	123	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
estExt_Genemark1.C_4_t10407	scaffold_4	900532	901730	-	1	1957	1916	41	1	1	0.1017	0.1467	2	1.1071	1.0428	2	0
fgenesh2_kg.4_#_88_#_4271125:1	scaffold_4	913698	914895	-	0	3132	3132	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6286	scaffold_4	915746	916896	-	0	835	835	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_fgenesh1_pg.C_40270	scaffold_4	923759	925962	-	1	77	77	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6288	scaffold_4	928159	931152	-	2	14	14	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6289	scaffold_4	935627	937948	-	3	63	23	40	1	1	0.6563	0.9468	2	1.9276	1.8643	2	0
6290	scaffold_4	940220	942454	-	3	66	66	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6291	scaffold_4	956138	957394	-	0	68	68	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
MicpuC2.estExt_Genewise1.C_40524	scaffold_4	967200	968458	-	0	113	113	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
6293	scaffold_4	975314	976149	-	1	35	35	0	1	0	0.0000	0.0000	1	1.0000	1.0000	1	0
